n,distribution,time_ms,inserts,extracts,swaps,arrayAccesses,comparisons
100,random,0.028,100,50,1896,11822,3186
100,random,0.027,100,50,1890,11802,3187
100,random,0.029,100,50,1909,11906,3156
100,random,0.030,100,50,1931,12049,3235
100,random,0.028,100,50,1917,11951,3211
100,random,0.027,100,50,1865,11645,3158
100,random,0.030,100,50,1983,12360,3281
100,random,0.031,100,50,1921,11980,3215
100,random,0.027,100,50,1853,11579,3148
100,random,0.027,100,50,1868,11664,3165
100,random,0.031,100,50,1914,11938,3209
100,random,0.027,100,50,1891,11800,3187
100,random,0.031,100,50,2006,12481,3300
100,random,0.027,100,50,1931,12044,3232
100,random,0.029,100,50,1927,12013,3220
100,random,14.499,100,50,1864,11633,3151
100,random,0.031,100,50,1992,12399,3286
100,random,0.028,100,50,1926,12003,3220
100,random,0.031,100,50,1877,11713,3171
100,random,0.032,100,50,1878,11728,3176
100,random,0.029,100,50,1914,11934,3205
100,random,0.029,100,50,1892,11806,3186
100,random,0.029,100,50,1908,11895,3153
100,random,0.030,100,50,1833,11456,3084
100,random,0.028,100,50,1908,11905,3207
100,random,0.030,100,50,1867,11660,3162
100,random,0.030,100,50,1978,12327,3278
100,random,0.028,100,50,1917,11965,3218
100,random,0.051,100,50,1915,11945,3210
100,random,0.027,100,50,1887,11788,3186
100,random,0.034,100,50,1898,11834,3189
100,random,15.391,100,50,1899,11852,3197
100,random,0.029,100,50,1887,11770,3131
100,random,0.026,100,50,1939,12090,3238
100,random,0.028,100,50,1815,11350,3063
100,random,0.029,100,50,1873,11698,3169
100,random,0.030,100,50,1984,12362,3283
100,random,0.027,100,50,1921,11983,3220
100,random,0.026,100,50,1872,11688,3166
100,random,0.029,100,50,1881,11742,3177
100,random,0.034,100,50,1801,11265,3050
100,random,0.027,100,50,1807,11292,3049
100,random,0.027,100,50,1773,11114,3028
100,random,0.027,100,50,1902,11860,3194
100,random,0.027,100,50,1914,11928,3157
100,random,0.031,100,50,1945,12130,3246
100,random,0.029,100,50,1928,12017,3221
1000,random,24.050,1000,500,15013,94735,27961
1000,random,0.814,1000,500,14916,94190,27882
1000,random,0.251,1000,500,15066,95030,28008
1000,random,0.252,1000,500,15028,94838,27983
1000,random,0.480,1000,500,14990,94615,27930
10000,random,3.481,10000,5000,143013,904791,272508
10000,random,2.674,10000,5000,142931,904546,272490
10000,random,3.105,10000,5000,142955,904302,272362
10000,random,2.815,10000,5000,143213,905922,272606
10000,random,2.826,10000,5000,142770,903457,272280
100,sorted,0.027,100,50,1589,9996,2895
100,sorted,0.023,100,50,1558,9810,2863
100,sorted,0.022,100,50,1577,9926,2883
100,sorted,0.022,100,50,1572,9904,2879
100,sorted,0.024,100,50,1571,9888,2874
1000,sorted,0.235,1000,500,13345,84762,26417
1000,sorted,0.232,1000,500,13208,83950,26288
1000,sorted,0.218,1000,500,13413,85174,26483
1000,sorted,0.220,1000,500,13250,84206,26314
1000,sorted,0.241,1000,500,13430,85278,26488
10000,sorted,2.014,10000,5000,131730,837404,262321
10000,sorted,2.038,10000,5000,129759,825626,260430
10000,sorted,2.093,10000,5000,132083,839476,262602
10000,sorted,2.206,10000,5000,131899,838462,262460
10000,sorted,2.211,10000,5000,131350,835106,262085
100,reversed,0.026,100,50,2374,14635,3594
100,reversed,0.027,100,50,2402,14809,3614
100,reversed,0.026,100,50,2405,14830,3620
100,reversed,1.178,100,50,2421,14922,3644
100,reversed,0.026,100,50,2399,14772,3621
1000,reversed,0.293,1000,500,24430,150339,36160
1000,reversed,0.288,1000,500,24146,148647,35916
1000,reversed,0.289,1000,500,24181,148856,35948
1000,reversed,0.317,1000,500,24442,150418,36197
1000,reversed,0.283,1000,500,24208,149011,35959
10000,reversed,2.948,10000,5000,228287,1407223,345774
10000,reversed,3.358,10000,5000,225429,1390076,342935
10000,reversed,3.637,10000,5000,257669,1583523,375185
10000,reversed,2.954,10000,5000,228358,1407651,345856
10000,reversed,3.116,10000,5000,249092,1532061,366604
100,nearly_sorted,442.737,100,50,1665,10452,2968
100,nearly_sorted,0.022,100,50,1649,10350,2950
100,nearly_sorted,0.025,100,50,1650,10364,2955
100,nearly_sorted,10.027,100,50,1611,10136,2916
100,nearly_sorted,0.024,100,50,1702,10668,3002
1000,nearly_sorted,0.241,1000,500,13873,87880,26915
1000,nearly_sorted,0.228,1000,500,13902,88048,26947
1000,nearly_sorted,0.296,1000,500,13726,87006,26750
1000,nearly_sorted,0.252,1000,500,13919,88160,26954
1000,nearly_sorted,0.250,1000,500,13917,88142,26947
10000,nearly_sorted,2.297,10000,5000,136418,864887,266650
10000,nearly_sorted,2.328,10000,5000,136464,865240,266699
10000,nearly_sorted,2.204,10000,5000,136704,866725,267002
10000,nearly_sorted,2.514,10000,5000,134339,852608,264604
10000,nearly_sorted,2.163,10000,5000,134429,853250,264479
100,random,0.029,100,50,2071,12880,3468
